# Sweep MEMS Completo a VDC=4.0V (128 Medie) - 20260908_130623
"# VDC_target=4.0 V, VDC_meas=4.004 V, IDC_meas=-0.13 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
278,417858.667,417858.667,9.280000e-02,1.036000e+00,1.116379e+01,20.956,70.700
279,417861.333,417861.333,9.290000e-02,1.039000e+00,1.118407e+01,20.972,70.600
280,417864.000,417864.000,9.320000e-02,1.045000e+00,1.121245e+01,20.994,70.100
281,417866.667,417866.667,9.330000e-02,1.043000e+00,1.117899e+01,20.968,70.800
282,417869.333,417869.333,9.270000e-02,1.038000e+00,1.119741e+01,20.982,69.400
283,417872.000,417872.000,9.320000e-02,1.042000e+00,1.118026e+01,20.969,70.300
284,417874.667,417874.667,9.270000e-02,1.038000e+00,1.119741e+01,20.982,69.600
285,417877.333,417877.333,9.290000e-02,1.036000e+00,1.115178e+01,20.947,69.400
286,417880.000,417880.000,9.320000e-02,1.036000e+00,1.111588e+01,20.919,71.600
287,417882.667,417882.667,9.280000e-02,1.045000e+00,1.126078e+01,21.031,71.200
288,417885.333,417885.333,9.290000e-02,1.043000e+00,1.122713e+01,21.005,70.700
